method,path,middlewares,handler,file
"POST","/campaigns/:id/send-now","","inline","src\routes\campaigns.ts"
"GET","/segments","","inline","src\routes\campaigns.ts"
"POST","/segments","","inline","src\routes\campaigns.ts"
"GET","/load","","loadCart","src\routes\cart\cart.routes.ts"
"GET","/:cartId","","getCart","src\routes\cart\cart.routes.ts"
"POST","/:cartId/item","","addItem","src\routes\cart\cart.routes.ts"
"PUT","/item/:cartItemId/quantity","","updateQuantity","src\routes\cart\cart.routes.ts"
"DELETE","/item/:cartItemId","","removeItem","src\routes\cart\cart.routes.ts"
"POST","/checkout","customerAuth","checkout","src\routes\cart.routes.ts"
"POST","/","adminAuth|adminRole(""manager"")","create","src\routes\categories.routes.ts"
"PUT","/:id","adminAuth|adminRole(""manager"")","update","src\routes\categories.routes.ts"
"DELETE","/:id","adminAuth|adminRole(""manager"")","remove","src\routes\categories.routes.ts"
"POST","/talk","adminAuth|adminRole(""manager"")","talk","src\routes\conversational.routes.ts"
"GET","/history","adminAuth|adminRole(""manager"")","history","src\routes\conversational.routes.ts"
"GET","/order","","getCourierOrderView","src\routes\courier\courier.routes.ts"
"POST","/location/update","","updateCourierLocation","src\routes\courier\courier.routes.ts"
"POST","/location","","inline","src\routes\courier.ts"
"POST","/status","","inline","src\routes\courier.ts"
"GET","/orders/:courierId","","inline","src\routes\courier.ts"
"POST","/claim","","claim","src\routes\couriers.routes.ts"
"POST","/status","courierAuth","updateStatus","src\routes\couriers.routes.ts"
"POST","/location","courierAuth","updateLocation","src\routes\courierTracking.routes.ts"
"POST","/event","courierAuth","addEvent","src\routes\courierTracking.routes.ts"
"GET","/track/:orderId","customerAuth","customerTracking","src\routes\courierTracking.routes.ts"
"GET","/manager/live-map","adminAuth|adminRole(""manager"")","managerLiveMap","src\routes\courierTracking.routes.ts"
"GET","/track/:token","","getCustomerTracking","src\routes\customer\customerTracking.routes.ts"
"POST","/register","","register","src\routes\customers.routes.ts"
"POST","/login","","login","src\routes\customers.routes.ts"
"POST","/refresh","","refresh","src\routes\customers.routes.ts"
"GET","/me","customerAuth","profile","src\routes\customers.routes.ts"
"GET","/profile","customerAuth","profile","src\routes\customers.routes.ts"
"PUT","/phone","customerAuth","updatePhone","src\routes\customers.routes.ts"
"POST","/addresses","customerAuth","addAddress","src\routes\customers.routes.ts"
"GET","/addresses","customerAuth","listAddresses","src\routes\customers.routes.ts"
"GET","/addresses/:id","customerAuth","getAddress","src\routes\customers.routes.ts"
"PUT","/addresses/:id","customerAuth","updateAddress","src\routes\customers.routes.ts"
"DELETE","/addresses/:id","customerAuth","deleteAddress","src\routes\customers.routes.ts"
"GET","/global/revenue","adminAuth|adminRole(""admin"")","globalRevenue","src\routes\dashboard.routes.ts"
"GET","/global/orders","adminAuth|adminRole(""admin"")","globalOrders","src\routes\dashboard.routes.ts"
"GET","/global/searches","adminAuth|adminRole(""admin"")","topSearches","src\routes\dashboard.routes.ts"
"GET","/global/loyalty","adminAuth|adminRole(""admin"")","loyaltyStats","src\routes\dashboard.routes.ts"
"GET","/global/customers","adminAuth|adminRole(""admin"")","customerStats","src\routes\dashboard.routes.ts"
