method,path,middlewares,handler,file,visibility
"GET","/terminals","","getAllTerminals","src\routes\admin\terminalAdmin.routes.ts","terminal"
"GET","/terminals/activity","validate(getTerminalActivitySchema)","getTerminalActivity","src\routes\admin\terminalAdmin.routes.ts","terminal"
"GET","/terminals/status","validate(getTerminalStatusSchema)","getTerminalStatus","src\routes\admin\terminalStatus.routes.ts","terminal"
"GET","/","verifyAdmin","getAll","src\routes\admin\topping.routes.ts","admin-internal"
"GET","/:id","verifyAdmin","getById","src\routes\admin\topping.routes.ts","admin-internal"
"POST","/","verifyAdmin","create","src\routes\admin\topping.routes.ts","admin-internal"
"PUT","/:id","verifyAdmin","update","src\routes\admin\topping.routes.ts","admin-internal"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\topping.routes.ts","admin-internal"
"GET","/","verifyAdmin","getAll","src\routes\admin\variant.routes.ts","admin-internal"
"GET","/:id","verifyAdmin","getById","src\routes\admin\variant.routes.ts","admin-internal"
"POST","/","verifyAdmin","create","src\routes\admin\variant.routes.ts","admin-internal"
"PUT","/:id","verifyAdmin","update","src\routes\admin\variant.routes.ts","admin-internal"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\variant.routes.ts","admin-internal"
"GET","/opening-hours","","inline","src\routes\admin.ts","internal"
"POST","/opening-hours","","inline","src\routes\admin.ts","internal"
"GET","/holiday-overrides","","inline","src\routes\admin.ts","internal"
"POST","/holiday-overrides","","inline","src\routes\admin.ts","internal"
"PUT","/holiday-overrides","","inline","src\routes\admin.ts","internal"
"DELETE","/holiday-overrides","","inline","src\routes\admin.ts","internal"
"GET","/delivery-zones","","inline","src\routes\admin.ts","internal"
"POST","/delivery-zones","","inline","src\routes\admin.ts","internal"
"GET","/me","","inline","src\routes\admin.ts","public"
"POST","/","adminAuth|adminRole(""superadmin"")","create","src\routes\admins.routes.ts","admin-internal"
"POST","/login","","login","src\routes\admins.routes.ts","public"
"POST","/refresh","","refresh","src\routes\admins.routes.ts","internal"
"GET","/","adminAuth|adminRole(""superadmin"")","list","src\routes\admins.routes.ts","admin-internal"
"GET","/:id","adminAuth|adminRole(""superadmin"")","getById","src\routes\admins.routes.ts","admin-internal"
"PUT","/:id","adminAuth|adminRole(""superadmin"")","update","src\routes\admins.routes.ts","admin-internal"
"DELETE","/:id","adminAuth|adminRole(""superadmin"")","delete","src\routes\admins.routes.ts","admin-internal"
"GET","/revenue","adminAuth|adminRole(""manager"")","totalRevenue","src\routes\analytics.routes.ts","admin-internal"
"GET","/orders-per-day","adminAuth|adminRole(""manager"")","ordersPerDay","src\routes\analytics.routes.ts","admin-internal"
"GET","/best-selling-items","adminAuth|adminRole(""manager"")","bestSellingItems","src\routes\analytics.routes.ts","admin-internal"
"GET","/customer-stats","adminAuth|adminRole(""manager"")","customerStats","src\routes\analytics.routes.ts","admin-internal"
"GET","/courier-performance","adminAuth|adminRole(""manager"")","courierPerformance","src\routes\analytics.routes.ts","admin-internal"
"GET","/hourly-orders","adminAuth|adminRole(""manager"")","hourlyOrders","src\routes\analytics.routes.ts","admin-internal"
"POST","/login","","inline","src\routes\auth.ts","public"
"POST","/request-link","","inline","src\routes\auth.ts","internal"
"POST","/admin/request-link","","inline","src\routes\auth.ts","internal"
"GET","/verify","","inline","src\routes\auth.ts","internal"
"GET","/admin/verify","","inline","src\routes\auth.ts","internal"
"POST","/logout","","inline","src\routes\auth.ts","internal"
"GET","/profile/:customerId","adminAuth|adminRole(""manager"")","profile","src\routes\behaviorPrediction.routes.ts","admin-internal"
"GET","/","","inline","src\routes\branches.ts","internal"
"GET","/campaigns","","inline","src\routes\campaigns.ts","internal"
"POST","/campaigns","","inline","src\routes\campaigns.ts","internal"
"PUT","/campaigns/:id","","inline","src\routes\campaigns.ts","internal"
"DELETE","/campaigns/:id","","inline","src\routes\campaigns.ts","internal"
"POST","/campaigns/:id/schedule","","inline","src\routes\campaigns.ts","internal"
"POST","/campaigns/:id/send-now","","inline","src\routes\campaigns.ts","internal"
"GET","/segments","","inline","src\routes\campaigns.ts","internal"
"POST","/segments","","inline","src\routes\campaigns.ts","internal"
"GET","/load","","loadCart","src\routes\cart\cart.routes.ts","internal"
"GET","/:cartId","","getCart","src\routes\cart\cart.routes.ts","internal"
"POST","/:cartId/item","","addItem","src\routes\cart\cart.routes.ts","internal"
"PUT","/item/:cartItemId/quantity","","updateQuantity","src\routes\cart\cart.routes.ts","internal"
"DELETE","/item/:cartItemId","","removeItem","src\routes\cart\cart.routes.ts","internal"
"POST","/checkout","customerAuth","checkout","src\routes\cart.routes.ts","public"
"POST","/","adminAuth|adminRole(""manager"")","create","src\routes\categories.routes.ts","admin-internal"
"PUT","/:id","adminAuth|adminRole(""manager"")","update","src\routes\categories.routes.ts","admin-internal"
"DELETE","/:id","adminAuth|adminRole(""manager"")","remove","src\routes\categories.routes.ts","admin-internal"
"POST","/talk","adminAuth|adminRole(""manager"")","talk","src\routes\conversational.routes.ts","admin-internal"
"GET","/history","adminAuth|adminRole(""manager"")","history","src\routes\conversational.routes.ts","admin-internal"
"GET","/order","","getCourierOrderView","src\routes\courier\courier.routes.ts","driver"
"POST","/location/update","","updateCourierLocation","src\routes\courier\courier.routes.ts","driver"
"POST","/location","","inline","src\routes\courier.ts","driver"
"POST","/status","","inline","src\routes\courier.ts","driver"
"GET","/orders/:courierId","","inline","src\routes\courier.ts","driver"
"POST","/claim","","claim","src\routes\couriers.routes.ts","driver"
"POST","/status","courierAuth","updateStatus","src\routes\couriers.routes.ts","driver"
"POST","/location","courierAuth","updateLocation","src\routes\courierTracking.routes.ts","driver"
"POST","/event","courierAuth","addEvent","src\routes\courierTracking.routes.ts","driver"
"GET","/track/:orderId","customerAuth","customerTracking","src\routes\courierTracking.routes.ts","driver"
"GET","/manager/live-map","adminAuth|adminRole(""manager"")","managerLiveMap","src\routes\courierTracking.routes.ts","admin-internal"
"GET","/track/:token","","getCustomerTracking","src\routes\customer\customerTracking.routes.ts","public"
"POST","/register","","register","src\routes\customers.routes.ts","public"
"POST","/login","","login","src\routes\customers.routes.ts","public"
"POST","/refresh","","refresh","src\routes\customers.routes.ts","public"
"GET","/me","customerAuth","profile","src\routes\customers.routes.ts","public"
"GET","/profile","customerAuth","profile","src\routes\customers.routes.ts","public"
"PUT","/phone","customerAuth","updatePhone","src\routes\customers.routes.ts","public"
"POST","/addresses","customerAuth","addAddress","src\routes\customers.routes.ts","public"
"GET","/addresses","customerAuth","listAddresses","src\routes\customers.routes.ts","public"
"GET","/addresses/:id","customerAuth","getAddress","src\routes\customers.routes.ts","public"
"PUT","/addresses/:id","customerAuth","updateAddress","src\routes\customers.routes.ts","public"
"DELETE","/addresses/:id","customerAuth","deleteAddress","src\routes\customers.routes.ts","public"
"GET","/global/revenue","adminAuth|adminRole(""admin"")","globalRevenue","src\routes\dashboard.routes.ts","admin-internal"
"GET","/global/orders","adminAuth|adminRole(""admin"")","globalOrders","src\routes\dashboard.routes.ts","admin-internal"
"GET","/global/searches","adminAuth|adminRole(""admin"")","topSearches","src\routes\dashboard.routes.ts","admin-internal"
"GET","/global/loyalty","adminAuth|adminRole(""admin"")","loyaltyStats","src\routes\dashboard.routes.ts","admin-internal"
"GET","/global/customers","adminAuth|adminRole(""admin"")","customerStats","src\routes\dashboard.routes.ts","admin-internal"
"GET","/branch/:branchId/revenue","adminAuth|adminRole(""manager"")","branchRevenue","src\routes\dashboard.routes.ts","admin-internal"
"GET","/branch/:branchId/orders","adminAuth|adminRole(""manager"")","branchOrders","src\routes\dashboard.routes.ts","admin-internal"
"GET","/branch/:branchId/menu","adminAuth|adminRole(""manager"")","menuPerformance","src\routes\dashboard.routes.ts","admin-internal"
"GET","/branch/:branchId/couriers","adminAuth|adminRole(""manager"")","courierPerformance","src\routes\dashboard.routes.ts","admin-internal"
"POST","/run","adminAuth|adminRole(""manager"")","run","src\routes\decisionEngine.routes.ts","admin-internal"
"GET","/logs","adminAuth|adminRole(""manager"")","logs","src\routes\decisionEngine.routes.ts","admin-internal"
"POST","/calculate","customerAuth","calculate","src\routes\deliveryFee.routes.ts","public"
"PUT","/zone/:branchId","adminAuth|adminRole(""manager"")","setZone","src\routes\deliveryFee.routes.ts","admin-internal"
